Вывод для нечетного кол-ва:

Боб взял монету. У Боба: 40, у Тома: 40, осталось: 20
Боб взял монету. У Боба: 41, у Тома: 40, осталось: 19
Том взял монету. У Боба: 41, у Тома: 41, осталось: 18
Боб взял монету. У Боба: 42, у Тома: 41, осталось: 17
Том взял монету. У Боба: 42, у Тома: 42, осталось: 16
Боб взял монету. У Боба: 43, у Тома: 42, осталось: 15
Том взял монету. У Боба: 43, у Тома: 43, осталось: 14
Боб взял монету. У Боба: 44, у Тома: 43, осталось: 13
Том взял монету. У Боба: 44, у Тома: 44, осталось: 12
Боб взял монету. У Боба: 45, у Тома: 44, осталось: 11
Том взял монету. У Боба: 45, у Тома: 45, осталось: 10
Том взял монету. У Боба: 45, у Тома: 46, осталось: 9
Боб взял монету. У Боба: 46, у Тома: 46, осталось: 8
Боб взял монету. У Боба: 47, у Тома: 46, осталось: 7
Том взял монету. У Боба: 47, у Тома: 47, осталось: 6
Боб взял монету. У Боба: 48, у Тома: 47, осталось: 5
Том взял монету. У Боба: 48, у Тома: 48, осталось: 4
Том взял монету. У Боба: 48, у Тома: 49, осталось: 3
Боб взял монету. У Боба: 49, у Тома: 49, осталось: 2
Том взял монету. У Боба: 49, у Тома: 50, осталось: 1
Боб взял монету. У Боба: 50, у Тома: 50, осталось: 0

=== Результаты дележа ===
Начальное количество: 100 монет
Боб получил: 50 монет
Том получил: 50 монет
Всего распределено: 100 монет
Разница: 0 монет
Дележ прошел успешно!
